country_code,postal_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
AT,7000,Kleinhöflein im Burgenland,Burgenland,1,Eisenstadt Stadt,101.0,Eisenstadt,10101.0,47.8415,16.5041,4
AT,7000,Sankt Georgen am Leithagebirge,Burgenland,1,Eisenstadt Stadt,101.0,Eisenstadt,10101.0,47.85,16.55,4
AT,7000,Eisenstadt,Burgenland,1,Eisenstadt Stadt,101.0,Eisenstadt,10101.0,47.8457,16.5233,4
AT,7002,Eisenstadt,Burgenland,1,Eisenstadt Stadt,101.0,Eisenstadt,10101.0,47.8457,16.5233,4
AT,7071,Rust,Burgenland,1,Rust Stadt,102.0,Rust,10201.0,47.8012,16.6716,4
AT,2443,Loretto,Burgenland,1,Eisenstadt-Umgebung,103.0,Loretto,10320.0,47.9156,16.5179,4
AT,2443,Leithaprodersdorf,Burgenland,1,Eisenstadt-Umgebung,103.0,Leithaprodersdorf,10306.0,47.9335,16.4791,4
AT,2443,Stotzing,Burgenland,1,Eisenstadt-Umgebung,103.0,Stotzing,10321.0,47.9069,16.5458,4
AT,2485,Wimpassing an der Leitha,Burgenland,1,Eisenstadt-Umgebung,103.0,Wimpassing an der Leitha,10318.0,47.9167,16.4333,4
AT,2491,Hornstein / Vorištan,Burgenland,1,Eisenstadt-Umgebung,103.0,Hornstein,10304.0,47.8805,16.4445,4
AT,2491,Neufeld an der Leitha,Burgenland,1,Eisenstadt-Umgebung,103.0,Neufeld an der Leitha,10309.0,47.8656,16.3786,4
AT,2491,Steinbrunn / Štikapron,Burgenland,1,Eisenstadt-Umgebung,103.0,Steinbrunn,10316.0,47.8333,16.4167,4
AT,7011,Siegendorf / Cindrof,Burgenland,1,Eisenstadt-Umgebung,103.0,Siegendorf,10315.0,47.781,16.5423,4
AT,7012,Zagersdorf / Cogrštof,Burgenland,1,Eisenstadt-Umgebung,103.0,Zagersdorf,10323.0,47.7647,16.5138,4
AT,7013,Klingenbach / Klimpuh,Burgenland,1,Eisenstadt-Umgebung,103.0,Klingenbach,10305.0,47.7569,16.5508,1
AT,7033,Zillingtal / Celindof,Burgenland,1,Eisenstadt-Umgebung,103.0,Zillingtal,10322.0,47.8144,16.4093,4
AT,7034,Zillingtal / Celindof,Burgenland,1,Eisenstadt-Umgebung,103.0,Zillingtal,10322.0,47.8144,16.4093,4
AT,7035,Zillingtal / Celindof,Burgenland,1,Eisenstadt-Umgebung,103.0,Zillingtal,10322.0,47.8144,16.4093,4
AT,7035,Steinbrunn / Štikapron,Burgenland,1,Eisenstadt-Umgebung,103.0,Steinbrunn,10316.0,47.8333,16.4167,4
AT,7041,Wulkaprodersdorf / Vulkaprodrštof,Burgenland,1,Eisenstadt-Umgebung,103.0,Wulkaprodersdorf,10319.0,47.7975,16.5045,4
AT,7051,Großhöflein,Burgenland,1,Eisenstadt-Umgebung,103.0,Großhöflein,10303.0,47.8359,16.4804,4
AT,7052,Müllendorf,Burgenland,1,Eisenstadt-Umgebung,103.0,Müllendorf,10308.0,47.8394,16.4626,4
AT,7053,Hornstein / Vorištan,Burgenland,1,Eisenstadt-Umgebung,103.0,Hornstein,10304.0,47.8805,16.4445,4
AT,7061,Trausdorf an der Wulka / Trajštof,Burgenland,1,Eisenstadt-Umgebung,103.0,Trausdorf an der Wulka,10317.0,47.8156,16.5662,1
AT,7062,Sankt Margarethen im Burgenland,Burgenland,1,Eisenstadt-Umgebung,103.0,Sankt Margarethen im Burgenland,10313.0,47.8034,16.6088,4
AT,7063,Oggau am Neusiedler See,Burgenland,1,Eisenstadt-Umgebung,103.0,Oggau am Neusiedler See,10310.0,47.8333,16.6667,4
AT,7064,Oslip / Uzlop,Burgenland,1,Eisenstadt-Umgebung,103.0,Oslip,10311.0,47.8291,16.6196,4
AT,7072,Mörbisch am See,Burgenland,1,Eisenstadt-Umgebung,103.0,Mörbisch am See,10307.0,47.75,16.6667,4
AT,7081,Schützen am Gebirge,Burgenland,1,Eisenstadt-Umgebung,103.0,Schützen am Gebirge,10314.0,47.8523,16.6233,4
AT,7082,Donnerskirchen,Burgenland,1,Eisenstadt-Umgebung,103.0,Donnerskirchen,10302.0,47.8942,16.6463,4
AT,7083,Purbach am Neusiedler See,Burgenland,1,Eisenstadt-Umgebung,103.0,Purbach am Neusiedler See,10312.0,47.9129,16.6956,4
AT,7091,Breitenbrunn,Burgenland,1,Eisenstadt-Umgebung,103.0,Breitenbrunn am Neusiedler See,10301.0,47.9445,16.7315,4
